"station_id","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
3076,39,35,25,63,24,17,44,121,402,287,227,316,456,540,418,458,479,455,496,300,149,105,68,48
3077,21,14,12,4,5,7,32,81,71,120,135,160,202,198,194,147,156,152,121,111,76,39,41,25
3078,55,49,62,40,5,3,35,175,74,65,62,99,120,102,172,200,197,211,209,215,123,132,121,110
3079,41,34,9,3,3,12,5,39,48,48,48,107,156,98,125,122,159,153,202,103,81,50,47,52
3080,1,3,2,1,4,1,0,7,11,15,28,27,40,32,49,44,52,54,55,20,21,7,7,15
3081,9,9,3,2,2,2,8,22,52,44,65,73,103,103,86,79,141,654,179,51,34,23,9,11
3082,259,190,163,72,19,37,268,732,997,691,444,569,647,770,758,796,878,1030,1029,753,619,534,458,334
4108,0,0,0,0,0,0,0,1,2,10,12,24,9,13,16,15,13,32,12,12,2,15,0,0
4125,0,1,0,1,0,0,1,2,4,0,5,6,11,3,1,5,6,8,7,17,2,3,1,0
4126,0,1,0,0,3,1,2,17,30,65,98,99,153,122,135,129,124,181,156,99,37,15,4,0
4127,0,0,0,0,0,1,0,5,4,9,9,33,46,13,10,15,21,9,15,8,2,3,4,4
4129,0,0,4,0,1,0,18,8,19,54,24,43,75,37,41,64,63,70,51,53,25,11,22,3
4130,0,0,0,0,1,2,8,25,47,78,75,63,62,66,46,61,48,40,79,49,31,4,1,2
4131,9,2,0,0,0,0,2,16,30,66,71,70,130,99,91,87,102,97,83,73,86,35,9,14
4132,4,2,0,0,0,0,0,5,28,26,35,57,34,40,46,40,68,41,71,130,99,68,23,15
4133,0,0,0,0,0,0,0,8,16,24,15,23,77,45,47,40,69,52,54,42,20,9,1,2
4134,0,0,0,0,0,0,2,7,12,25,15,40,32,80,41,66,68,44,12,26,12,6,2,1
4135,0,0,0,0,2,0,1,11,27,16,26,26,35,18,27,35,28,30,38,39,29,21,5,0
4136,0,1,0,0,0,0,0,4,6,5,18,15,14,19,15,21,14,15,16,24,12,5,3,7
4138,41,51,12,2,4,1,6,17,25,28,46,42,147,130,125,121,92,90,119,132,90,81,113,60
4142,27,27,1,1,1,4,11,15,61,66,74,103,98,122,94,130,127,111,116,155,84,133,97,54
4143,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4144,4,1,3,0,2,14,11,36,89,50,67,54,100,94,80,83,122,84,80,72,74,46,16,13
4146,12,3,2,0,0,14,2,9,20,23,62,88,84,92,73,69,70,70,49,62,25,45,26,20
4147,41,42,16,1,1,1,4,8,25,35,38,49,73,72,108,52,84,99,139,94,104,73,72,73
4148,1,2,1,1,0,30,13,14,11,28,24,31,59,42,30,41,37,83,77,42,21,14,2,4
4149,7,1,3,2,1,2,4,10,39,30,30,41,48,95,61,40,35,43,80,81,59,19,28,13
4150,12,6,3,1,0,0,5,36,183,92,144,134,57,60,49,53,54,53,49,58,44,32,21,11
4151,6,1,7,1,1,4,17,102,89,92,96,126,135,97,90,99,69,111,121,104,62,45,23,6
4152,14,4,1,1,1,6,36,33,43,52,26,33,43,44,44,34,63,86,32,63,50,26,22,62
4153,6,6,8,1,0,9,41,25,74,110,104,119,134,129,146,140,168,167,194,221,232,138,100,110
4154,15,3,8,13,45,10,97,27,63,29,25,44,46,43,42,40,57,56,105,94,53,37,33,11
4155,7,12,3,1,0,7,5,47,36,22,24,62,105,45,34,41,39,68,57,39,54,40,39,33
4156,0,2,0,1,0,25,5,45,72,95,53,39,73,43,39,50,67,100,66,57,43,20,20,10
4157,17,2,0,0,3,2,33,194,64,55,74,75,82,103,91,80,88,126,162,133,145,80,32,34
4158,1,4,0,0,1,0,51,86,62,34,27,49,49,39,65,48,42,63,78,75,50,36,27,13
4159,14,9,6,5,8,9,17,42,86,110,93,102,113,114,92,95,114,113,123,109,93,99,41,15
4160,5,3,3,0,1,1,5,35,139,84,49,68,64,56,57,31,75,83,99,108,56,31,17,10
4162,59,36,5,3,4,2,36,100,116,134,94,95,142,141,130,150,230,251,258,186,124,145,104,55
4163,7,4,2,0,0,4,16,276,144,86,77,64,72,81,67,57,101,128,142,133,75,36,33,24
4165,30,8,10,3,1,6,9,148,159,175,142,85,87,105,111,73,159,159,133,113,89,72,39,24
4166,9,12,3,2,2,1,144,44,74,68,55,51,50,79,63,62,69,56,66,49,58,62,13,28
4167,9,7,0,0,0,0,0,7,36,47,44,44,56,53,59,42,58,60,66,64,28,61,38,18
4169,30,11,6,3,4,14,16,25,15,35,38,57,81,71,49,41,51,101,104,90,78,48,45,37
4170,6,7,0,1,4,22,31,45,94,94,74,43,54,62,42,30,41,42,59,16,20,17,4,4
4174,15,8,2,2,0,14,23,37,44,40,28,20,29,26,16,41,26,34,43,26,20,12,16,7
4176,16,19,10,7,5,17,44,33,95,58,36,85,98,104,104,114,155,219,170,133,113,75,37,39
4177,15,6,2,0,2,0,43,16,59,83,40,63,103,71,92,204,106,241,150,69,79,73,31,36
4180,23,18,3,3,0,3,10,26,23,48,60,97,116,101,111,108,163,191,164,152,99,72,38,23
4181,19,17,11,2,0,3,9,20,29,76,117,105,130,123,131,147,164,126,178,172,133,139,61,69
4183,22,16,1,1,1,14,35,81,115,111,79,83,81,103,67,75,77,82,95,81,71,64,46,39
4194,2,0,2,3,1,1,0,1,4,8,7,6,13,4,7,3,15,17,4,3,2,2,1,2
4202,11,11,7,0,0,0,3,13,39,71,145,226,240,263,338,323,284,224,170,134,59,41,40,32
4204,15,9,2,2,0,2,12,37,51,132,131,166,145,181,144,107,124,71,52,54,19,12,25,19
4205,7,0,1,0,0,1,5,15,27,45,61,124,132,110,101,97,100,69,51,29,20,17,8,7
4206,0,2,1,0,2,0,3,11,81,96,82,58,71,60,65,53,50,48,38,18,6,4,11,5
4207,8,3,1,0,0,2,61,127,110,111,121,122,110,140,106,87,129,133,86,84,82,32,19,11
4208,8,3,0,1,2,3,2,14,24,46,46,75,110,116,124,116,85,74,76,39,41,26,11,14
4209,22,8,8,3,0,4,70,91,109,162,222,313,361,374,290,350,379,365,300,200,98,49,34,23
4210,19,17,14,4,2,2,15,44,169,308,531,677,804,915,931,969,923,774,639,326,158,119,50,43
4211,19,33,4,2,0,3,6,10,56,89,157,236,272,324,305,275,295,199,197,103,51,34,18,30
4212,29,18,5,4,2,2,4,25,87,129,170,178,238,283,346,288,352,303,223,146,71,85,43,22
4213,8,0,0,0,0,0,1,14,19,35,39,50,57,68,33,44,34,30,27,18,6,16,2,2
4214,13,19,11,0,3,1,27,100,210,369,654,724,1113,1249,1311,1268,1365,1184,838,599,318,142,81,42
4215,39,37,4,16,12,27,34,62,129,341,281,298,465,493,562,636,704,554,467,342,175,139,103,80
4216,2,2,0,2,0,1,1,9,34,64,30,40,56,71,78,68,81,65,60,31,11,4,18,5
4220,6,4,3,4,2,0,5,55,165,76,69,104,129,129,152,130,81,79,75,47,48,31,40,19
4227,1,0,0,0,0,0,0,0,1,0,2,5,7,4,7,11,6,9,1,6,1,6,0,2
4244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1
4249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,3,0,0,0,0
