"stationId","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
3047,-22,11,-7,-2,-14,-5,-5,7,15,7,-18,-2,-6,24,4,12,13,-3,-10,39,-27,-2,2,21,3,11,-18,39,21,-14,3
3048,-19,21,29,1,-30,6,-30,-29,-51,8,-30,0,-16,5,-33,-10,-7,-15,-51,21,-21,-19,-18,-1,-42,11,-29,17,9,-3,-1
3049,71,75,39,59,70,90,80,98,58,65,61,65,43,64,45,81,66,101,82,45,83,67,56,34,73,89,116,87,89,77,55
3051,-24,-6,-13,13,-17,19,14,9,-29,10,-1,-14,-11,8,27,-71,-27,16,25,3,-6,-3,-15,-32,-21,-26,-9,17,-9,-3,2
3052,86,78,74,81,102,75,68,79,77,59,91,81,90,93,61,112,79,50,95,57,70,87,68,75,58,72,77,82,41,65,50
3053,0,0,0,0,0,0,0,1,-2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3054,3,-22,-6,-13,-2,-10,-18,-44,-25,-7,-40,-12,-6,-5,-15,-7,11,-13,-6,22,-6,-9,4,-8,-17,-6,-3,9,-23,-2,-7
3055,78,44,44,58,51,44,25,39,50,64,46,54,37,37,52,60,64,57,78,36,76,65,44,44,59,36,23,35,52,28,28
3056,-15,-1,-9,-12,-7,-16,-9,-15,17,7,-16,1,4,-10,3,-13,-8,-7,3,-16,-10,1,10,-7,-15,-18,-33,0,-13,8,-5
3057,-12,-1,2,-6,-24,-7,-10,-22,3,-1,-19,-5,-1,-17,-11,-8,-16,-3,-1,-4,-14,-8,-22,-13,-4,-4,3,-9,5,3,-4
3058,-17,-8,-20,13,-13,-30,7,0,23,-29,22,-26,-9,-7,2,-2,-13,-33,-3,-21,-10,-16,-19,-22,-1,-15,-46,15,-27,-2,-3
3059,8,-3,-1,-1,6,-13,6,-3,0,-4,2,6,4,3,3,9,-2,10,-4,1,-1,3,-4,-3,7,0,-4,-9,-1,4,1
3060,-4,3,11,7,-13,7,2,-4,-14,-8,9,-2,1,-2,-1,-10,1,-7,-2,-3,-10,3,6,-3,3,14,0,-4,-6,0,2
3061,0,0,0,0,6,-4,3,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3062,-7,19,4,7,-12,9,-1,15,-22,-9,-17,-36,13,-9,-23,1,-14,12,-27,-3,1,-13,-4,42,18,-14,8,19,-8,14,-11
3063,-79,-89,-100,-107,-101,-76,-118,-73,-113,-59,-84,-52,-78,-59,-89,-111,-91,-75,-120,-105,-85,-69,-42,-58,-41,-63,-98,-86,-55,-94,-26
3064,-10,17,-19,-23,0,-25,-18,3,11,-14,33,14,-1,-25,16,8,-1,7,11,-22,-21,10,0,-1,22,-26,-12,3,-38,27,-62
3065,2,-11,1,-7,-11,1,-16,6,-8,-11,-7,-6,-2,-10,-8,2,-10,6,-9,7,-16,-7,-32,-15,1,-11,-23,-2,-19,-21,-7
3066,30,11,19,-15,28,9,21,12,6,4,4,15,24,7,17,35,24,17,62,10,25,38,21,-11,27,3,13,20,20,26,21
3067,43,31,28,19,21,62,25,50,69,34,42,44,77,20,54,35,18,26,11,50,22,38,17,-36,67,23,-1,60,49,28,17
3068,233,265,257,232,276,288,248,288,256,254,282,236,285,289,292,300,270,281,254,249,276,314,245,263,237,283,288,269,230,253,192
