"station_id","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
3068,35,19,21,9,8,11,15,74,95,84,108,191,299,257,204,248,207,232,176,217,118,92,59,59
3069,123,66,41,19,8,26,49,284,527,802,711,969,1387,1219,1010,947,945,1024,1170,886,535,338,215,167
3074,126,62,23,10,49,16,49,105,211,197,222,337,471,419,394,430,482,586,618,547,453,280,225,144
3075,119,76,43,16,14,24,162,111,453,559,460,373,463,530,487,434,497,533,476,477,342,303,241,146
3076,55,55,23,13,14,15,31,125,365,349,342,330,725,514,478,418,332,362,388,241,203,153,100,83
3077,41,19,40,26,45,22,17,39,82,158,157,127,228,236,212,144,151,125,122,123,86,69,60,53
3078,79,41,30,15,4,4,5,15,25,57,45,89,149,100,159,163,202,328,253,199,216,158,112,94
3079,35,13,7,2,3,19,17,41,131,101,58,59,129,192,98,127,122,147,142,138,53,64,38,24
3080,8,1,2,6,1,NULL,1,24,33,15,37,51,50,41,40,46,32,34,54,33,13,9,7,9
3081,27,23,17,3,1,6,4,87,646,157,48,69,89,112,102,85,69,79,55,39,27,19,18,20
3082,349,236,114,35,15,14,58,129,245,592,465,717,840,887,953,922,1154,1599,1631,1319,1100,755,556,393
4108,NULL,NULL,NULL,NULL,NULL,NULL,3,16,32,24,18,20,16,34,19,21,11,17,7,9,5,16,NULL,NULL
4110,NULL,NULL,NULL,NULL,NULL,NULL,1,6,13,6,6,12,27,9,20,19,11,21,25,13,15,17,NULL,NULL
4118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,1,4,7,4,NULL,3,2,NULL,1,2,NULL,NULL,2,NULL,NULL
4125,NULL,1,NULL,NULL,NULL,NULL,NULL,2,4,NULL,1,6,9,5,1,3,7,5,8,11,2,9,2,NULL
4126,7,1,NULL,NULL,NULL,NULL,4,12,20,42,47,91,134,142,107,139,114,141,176,143,58,26,14,3
4127,4,NULL,NULL,NULL,NULL,NULL,1,10,7,17,23,19,36,10,9,14,11,6,13,13,1,5,NULL,NULL
4129,3,1,4,NULL,NULL,NULL,6,10,10,30,27,33,58,57,54,46,82,69,77,66,42,17,10,3
4130,2,NULL,NULL,NULL,2,NULL,5,20,31,49,58,43,62,60,56,37,75,47,61,70,29,23,8,1
4131,9,8,NULL,NULL,1,NULL,1,7,22,46,102,60,134,112,77,73,139,77,109,70,73,54,27,15
4132,9,3,1,NULL,NULL,NULL,NULL,4,11,25,27,38,40,32,43,40,57,50,53,97,112,93,43,28
4133,2,NULL,NULL,NULL,NULL,NULL,NULL,5,12,25,18,46,62,75,61,87,78,89,62,52,30,16,NULL,1
4134,NULL,NULL,NULL,NULL,NULL,NULL,4,15,5,17,20,31,8,42,26,25,40,33,21,23,13,9,NULL,NULL
4135,NULL,NULL,NULL,NULL,NULL,1,1,6,17,26,21,16,34,22,19,35,37,31,25,35,35,34,6,13
4136,1,NULL,NULL,NULL,NULL,NULL,NULL,3,3,8,9,11,21,13,14,20,21,8,10,28,15,9,3,1
4138,49,20,12,4,6,2,2,22,64,54,41,65,98,183,116,103,112,108,119,110,80,85,59,49
4142,19,13,3,1,4,NULL,15,79,54,68,97,84,108,150,128,110,111,127,169,142,90,60,45,38
4143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4144,4,7,6,NULL,1,1,12,103,111,51,67,74,85,82,64,64,56,84,84,76,56,28,23,9
4146,17,3,2,NULL,1,NULL,7,17,24,28,40,76,84,80,54,63,44,49,49,50,39,45,24,22
4147,40,30,6,2,2,15,5,7,49,107,41,80,106,66,99,73,81,92,92,107,110,65,100,60
4148,7,4,3,2,NULL,NULL,39,30,32,46,20,21,37,42,20,41,42,40,24,32,12,8,10,8
4149,9,6,2,1,33,4,1,7,20,22,31,50,62,84,57,37,47,56,54,82,71,41,42,27
4150,28,11,2,3,3,NULL,NULL,7,12,38,38,39,60,47,54,41,64,78,152,97,56,75,59,32
4151,21,12,8,2,NULL,4,44,54,24,35,53,53,116,101,77,79,74,85,99,116,91,100,63,22
4152,10,3,3,NULL,NULL,1,28,6,12,31,12,32,22,27,36,30,33,57,39,39,14,14,19,26
4153,28,7,6,NULL,1,10,33,27,48,94,119,120,131,138,135,154,157,186,193,208,264,142,121,52
4154,30,19,4,1,NULL,1,14,99,26,20,19,21,35,32,43,34,31,65,60,25,46,56,46,18
4155,12,4,3,NULL,NULL,7,6,4,13,22,20,34,38,50,37,29,31,55,61,67,58,37,21,21
4156,18,11,3,5,NULL,NULL,27,27,129,26,17,23,45,34,37,19,33,42,89,94,85,57,34,28
4157,11,10,5,1,NULL,13,2,88,82,88,67,99,164,107,99,132,103,115,143,181,97,74,28,21
4158,15,9,14,NULL,NULL,7,5,119,52,47,62,54,48,75,62,56,78,93,83,117,69,62,45,22
4159,48,11,19,12,4,8,12,44,45,69,59,85,101,110,78,81,113,128,101,150,111,135,94,42
4160,15,12,12,2,1,20,13,78,161,80,47,49,66,91,58,72,105,156,103,136,77,56,40,21
4162,84,31,6,7,22,6,63,129,267,155,108,122,179,131,121,120,171,228,222,178,133,108,60,104
4163,7,4,NULL,1,4,16,58,85,148,109,62,25,41,74,63,56,91,142,74,45,66,45,26,11
4165,30,8,7,NULL,2,22,19,190,84,82,70,91,108,93,135,96,200,380,232,169,81,60,86,26
4166,9,11,12,NULL,NULL,NULL,18,17,26,53,37,38,39,42,47,161,66,89,103,76,71,57,17,22
4167,25,8,NULL,1,NULL,NULL,4,7,16,24,24,39,47,64,68,46,71,62,78,81,69,40,27,29
4169,24,6,6,5,8,20,7,9,45,66,33,45,50,66,40,46,62,106,110,88,47,44,37,18
4170,9,5,1,2,NULL,1,4,NULL,4,17,22,16,31,40,29,30,43,29,37,37,42,41,38,22
4174,17,19,15,1,1,NULL,NULL,5,3,10,9,4,7,23,33,27,33,16,21,26,34,15,11,4
4176,30,24,13,12,4,NULL,7,92,167,118,81,89,95,113,83,126,127,117,102,132,116,91,45,39
4177,27,11,1,4,1,13,163,27,102,212,156,104,113,82,80,96,80,127,88,88,73,69,40,29
4180,14,4,NULL,NULL,2,1,8,17,130,196,138,148,132,125,112,125,117,121,112,103,71,51,41,24
4181,25,23,4,2,2,NULL,11,32,45,67,130,185,126,113,142,116,140,143,132,145,127,100,59,46
4183,41,18,4,NULL,NULL,NULL,9,37,33,33,50,56,51,74,55,55,94,105,170,108,122,72,67,60
4194,2,NULL,1,3,NULL,1,NULL,1,3,8,6,4,7,10,1,9,1,7,6,9,1,NULL,1,NULL
4202,30,21,4,3,NULL,1,20,29,44,68,89,169,173,224,257,282,256,295,202,162,111,55,24,18
