"city"                ,"count"
"ACTON"               ,48
"AGOURA HILLS"        ,8
"AGUA DULCE"          ,10
"ALTADENA"            ,107
"ANAHEIM"             ,2
"ARCADIA"             ,19
"AVALON"              ,1
"AZUSA"               ,21
"BASSETT"             ,2
"BREA"                ,2
"CALABASAS"           ,14
"CANOGA PARK"         ,1
"CANYON COUNTRY"      ,283
"CARSON"              ,1
"CASTAIC"             ,94
"CHARTER OAK"         ,7
"CHATSWORTH"          ,1
"CITY OF INDUSTRY"    ,17
"COMMERCE"            ,1
"COMPTON"             ,77
"COVINA"              ,68
"DOWNEY"              ,1
"EAST LOS ANGELES"    ,9
"EAST PASADENA"       ,1
"EL MONTE"            ,4
"EL SEGUNDO"          ,2
"GARDENA"             ,161
"GLENDALE"            ,1
"GORMAN"              ,11
"GRANADA HILLS"       ,3
"GREEN VALLEY"        ,3
"HACIENDA"            ,1
"HACIENDA HEIGHTS"    ,167
"HARBOR CITY"         ,20
"HAWTHORNE"           ,31
"HUNTINGTON PARK"     ,101
"INDUSTRY"            ,9
"INGLEWOOD"           ,81
"INGLWEOOD"           ,1
"IRWINDALE"           ,2
"LA CANADA FLINTRIDGE",1
"LA CRESCENTA"        ,50
"LA MIRADA"           ,8
"LA PUENTE"           ,187
"LA VERNE"            ,1
"LAKE HUGHES"         ,13
"LAKE LOS ANGELES"    ,2
"LAKE VIEW TERRACE"   ,3
"LANCASTER"           ,43
"LAWNDALE"            ,1
"LEBEC"               ,8
"LENNOX"              ,22
"LEONA VALLEY"        ,5
"LITTLEROCK"          ,41
"LLANO"               ,4
"LONG BEACH"          ,4
"DOWNTOWN"            ,1543
"MALIBU"              ,144
"MARINA DEL REY"      ,144
"MONTEBELLO"          ,1
"MONTROSE"            ,21
"NEWHALL"             ,287
"NORTH HOLLYWOOD"     ,3
"PALMDALE"            ,54
"PALOS VERDES ESTATES",1
"PANORAMA CITY"       ,1
"PARAMOUNT"           ,1
"PASADENA"            ,103
"PEARBLOSSOM"         ,7
"POMONA"              ,1
"PORTERVILLE"         ,1
"QUARTZ HILL"         ,51
"RANCHO CUCAMONGA"    ,1
"RANCHO DOMINGUEZ"    ,44
"REDONDO BEACH"       ,1
"RIVERSIDE"           ,1
"ROLLING HILLS"       ,1
"ROSEMEAD"            ,9
"ROWLAND HEIGHTS"     ,362
"SAN BERNARDINO"      ,1
"SAN DIMAS"           ,2
"SAN FERNANDO"        ,1
"SAN GABRIEL"         ,52
"SAN PEDRO"           ,14
"SAND DIMAS"          ,1
"SANTA CLARITA"       ,490
"SANTA FE SPRINGS"    ,1
"SANTA ROSA"          ,1
"SAUGUS"              ,80
"SIMI VALLEY"         ,1
"SOUTH EL MONTE"      ,8
"SOUTH SAN GABRIEL"   ,9
"STEVENSON RANCH"     ,76
"SUN VALLEY"          ,3
"SYLMAR"              ,6
"TEMPLE CITY"         ,2
"TOPANGA"             ,20
"TORRANCE"            ,121
"TUJUNGA"             ,2
"UNIVERSAL CITY"      ,178
"VALENCIA"            ,329
"VALINDA"             ,6
"VALYERMO"            ,4
"VAN NUYS"            ,3
"VENICE"              ,386
"WALNUT"              ,24
"WALNUT PARK"         ,10
"WEST COVINA"         ,11
"WESTLAKE VILLAGE"    ,89
"WHITTIER"            ,349
"WRIGHTWOOD"          ,3
"SOUTH PARK"          ,180
"FLORENCE"            ,87
"WILMINGTON"          ,100
"DIAMOND BAR"         ,500
"SAN PEDRO"           ,200
"SANTA MONICA"        ,100
